,0
895,FCRL6
896,DUSP23
897,FCER1A
898,ACKR1
899,CADM3
900,AIM2
901,IFI206
902,IFI214
903,IFI213
904,IFI209
905,IFI208
906,IFI207
907,IFI204
908,MNDAL
909,IFI211
910,IFI203
911,IFI202B
912,IFI205
913,OLFR433
914,SPTA1
915,FMN2
916,GREM2
917,FH1
918,KMO
919,OPN3
920,CHML
921,EXO1
922,PLD5
923,RBM8A2
924,CEP170
925,SDCCAG8
926,AKT3
927,ZBTB18
928,2310043L19RIK
929,ADSS
930,DESI2
931,B230369F24RIK
932,COX20
933,HNRNPU
934,EFCAB2
935,KIF26B
936,SMYD3
937,TFB2M
938,CNST
939,SCCPDH
940,AHCTF1
941,CDC42BPA
942,COQ8A
943,GM37336
944,PSEN2
945,ITPKB
946,STUM
947,PARP1
948,LIN9
949,ACBD3
950,H3F3A
951,H3F3AOS
952,SDE2
953,LEFTY2
954,PYCR2
955,LEFTY1
956,TMEM63A
957,EPHX1
958,NVL
959,CNIH4
960,WDR26
961,A430110L20RIK
962,DNAH14
963,LBR
964,ENAH
965,SRP9
966,DEGS1
967,FBXO28
968,TRP53BP2
969,CAPN2
970,TLR5
971,GM38079
972,DISP1
973,BROX
974,AIDA
975,MIA3
976,TAF1A
977,GM37986
978,HHIPL2
979,GM37214
980,GM33973
981,DUSP10
982,1700056E22RIK
983,GM37800
984,HLX
985,GM34342
986,MARC1
987,MARC2
988,C130074G19RIK
989,MARK1
990,RAB3GAP2
991,IARS2
992,BPNT1
993,4930532G15RIK
994,EPRS
995,LYPLAL1
996,TGFB2
997,RRP15
998,A430105J06RIK
999,GPATCH2
1000,KCTD3
1001,KCNK2
1002,CENPF
1003,PTPN14
1004,GM37422
1005,SMYD2
1006,PROX1
1007,RPS6KC1
1008,ANGEL2
1009,VASH2
1010,FLVCR1
1011,A230020J21RIK
1012,TATDN3
1013,NSL1
1014,BATF3
1015,ATF3
1016,D730003I15RIK
1017,NENF
1018,PACC1
1019,PPP2R5A
1020,DTL
1021,INTS7
1022,LPGAT1
1023,GM38037
1024,NEK2
1025,1700034H15RIK
1026,SLC30A1
1027,RD3
1028,GM26670
1029,TRAF5
1030,GM26879
1031,RCOR3
1032,GM10516
1033,KCNH1
1034,HHAT
1035,SERTAD4
1036,GM15867
1037,UTP25
1038,IRF6
1039,A130010J15RIK
1040,TRAF3IP3
1041,4930570N18RIK
1042,LAMB3
1043,HSD11B1
1044,G0S2
1045,PLXNA2
1046,CD34
1047,A330023F24RIK
1048,CD46
1049,CR1L
1050,FAM171A1
1051,NMT2
1052,RPP38
1053,ACBD7
1054,MEIG1
1055,DCLRE1C
1056,SUV39H2
1057,HSPA14
1058,GM45902
1059,CDNF
1060,FAM107B
1061,FRMD4A
1062,GM13187
1063,GM36988
1064,PRPF18
1065,SEPHS1
1066,PHYH
1067,UCMA
1068,MCM10
1069,OPTN
1070,CCDC3
1071,CAMK1D
1072,CDC123
1073,NUDT5
1074,GM13199
1075,SEC61A2
1076,DHTKD1
1077,UPF2
1078,PROSER2
1079,ECHDC3
1080,USP6NL
1081,GM13391
1082,CELF2
1083,GM10115
1084,GATA3
1085,TAF3
1086,ATP5C1
1087,KIN
1088,ITIH2
1089,ITIH5
1090,GM13261
1091,SFMBT2
1092,GM13264
1093,PRKCQ
1094,PFKFB3
1095,GM10851
1096,RBM17
1097,IL2RA
1098,IL15RA
1099,FBH1
1100,ANKRD16
1101,ITGA8
1102,MINDY3
1103,PTER
1104,C1QL3
1105,RSU1
1106,GM13270
1107,CUBN
1108,TRDMT1
1109,VIM
1110,ST8SIA6
1111,HACD1
1112,STAMOS
1113,STAM
1114,TMEM236
1115,MRC1
1116,SLC39A12
1117,CACNB2
1118,NSUN6
1119,ARL5B
1120,PLXDC2
1121,NEBL
1122,A930004D18RIK
1123,SKIDA1
1124,1810059C17RIK
1125,MLLT10
1126,DNAJC1
1127,COMMD3
1128,BMI1
1129,GM20539
1130,PIP4K2A
1131,4930426L09RIK
1132,ARMC3
1133,MSRB2
1134,OTUD1
1135,ETL4
1136,ARHGAP21
1137,GM13375
1138,ENKUR
1139,THNSL1
1140,GAD2
1141,APBB1IP
1142,PDSS1
1143,ABI1
1144,ACBD5
1145,MASTL
1146,YME1L1
1147,SPOPL
1148,HNMT
1149,IL1F9
1150,IL1RN
1151,PSD4
1152,CACNA1B
1153,EHMT1
1154,ARRDC1
1155,ZMYND19
1156,DPH7
1157,MRPL41
1158,PNPLA7
1159,NSMF
1160,GM13387
1161,NRARP
1162,TOR4A
1163,NELFB
1164,FAM166A
1165,TUBB4B
1166,CYSRT1
1167,RNF208
1168,NDOR1
1169,TMEM203
1170,TPRN
1171,SSNA1
1172,ANAPC2
1173,GRIN1
1174,MAN1B1
1175,DPP7
1176,UAP1L1
1177,SAPCD2
1178,ENTPD2
1179,NPDC1
1180,FUT7
1181,ABCA2
1182,PAXX
1183,PTGDS
1184,C8G
1185,FBXW5
1186,TRAF2
1187,EDF1
1188,MAMDC4
1189,PHPT1
1190,AJM1
1191,RABL6
1192,TMEM141
1193,FCNA
1194,A230005M16RIK
1195,BMYC
1196,CAMSAP1
1197,UBAC1
1198,NACC2
1199,TMEM250-PS
1200,QSOX2
1201,CCDC187
1202,GPSM1
1203,DNLZ
1204,CARD9
1205,SNAPC4
1206,ENTR1
1207,PMPCA
1208,INPP5E
1209,SEC16A
1210,0610009E02RIK
1211,NOTCH1
1212,EGFL7
1213,AGPAT2
1214,DIPK1B
1215,SNHG7OS
1216,LCN4
1217,SURF6
1218,MED22
1219,RPL7A
1220,SURF1
1221,SURF2
1222,SURF4
1223,STKLD1
1224,REXO4
1225,ADAMTS13
1226,CACFD1
1227,SLC2A6
1228,MYMK
1229,ADAMTSL2
1230,DBHOS
1231,SARDH
1232,VAV2
1233,BRD3OS
1234,BRD3
1235,WDR5
1236,GM13421
1237,RXRA
1238,2810430I11RIK
1239,COL5A1
1240,OLFM1
1241,GM13373
1242,PPP1R26
1243,1700007K13RIK
1244,MRPS2
1245,GBGT1
1246,GM10134
1247,RALGDS
1248,GTF3C5
1249,GFI1B
1250,TSC1
1251,SPACA9
1252,AK8
1253,GTF3C4
1254,DDX31
1255,BARHL1
1256,CFAP77
1257,TTF1
1258,SETX
1259,6530402F18RIK
1260,MED27
1261,RAPGEF1
1262,TRUB2
1263,COQ4
1264,SLC27A4
1265,URM1
1266,2600006K01RIK
1267,CERCAM
1268,ODF2
1269,GLE1
1270,SPTAN1
1271,WDR34
1272,SET
1273,PKN3
1274,ZDHHC12
1275,ZER1
1276,TBC1D13
1277,ENDOG
1278,SPOUT1
1279,KYAT1
1280,1700084E18RIK
1281,LRRC8A
1282,PHYHD1
1283,DOLK
1284,NUP188
1285,SH3GLB2
1286,MIGA2
1287,DOLPP1
1288,CRAT
1289,PTPA
1290,IER5L
1291,CSTAD
1292,9330198N18RIK
1293,GM14488
1294,1700001O22RIK
1295,NTMT1
1296,ASB6
1297,PRRX2
1298,PTGES
1299,TOR1B
1300,TOR1A
1301,BC005624
1302,USP20
1303,FNBP1
1304,D330023K18RIK
1305,GPR107
1306,NCS1
1307,HMCN2
1308,ASS1
1309,FUBP3
1310,EXOSC2
1311,ABL1
1312,QRFP
1313,FIBCD1
1314,LAMC3
1315,AIF1L
1316,NUP214
1317,FAM78A
1318,PLPP7
1319,PRRC2B
1320,GM13610
1321,POMT1
1322,UCK1
1323,SWI5
1324,GOLGA2
1325,DNM1
1326,CIZ1
1327,1110008P14RIK
1328,LCN2
1329,PTGES2
1330,SLC25A25
1331,NAIF1
1332,FAM102A
1333,DPM2
1334,PIP5KL1
1335,ST6GALNAC4
1336,ST6GALNAC6
1337,AK1
1338,ENG
1339,FPGS
1340,CDK9
1341,SH2D3C
1342,6330409D20RIK
1343,TTC16
1344,TOR2A
1345,PTRH1
1346,STXBP1
1347,GM13524
1348,FAM129B
1349,LRSAM1
1350,RPL12
1351,SLC2A8
1352,GARNL3
1353,RALGPS1
1354,ANGPTL2
1355,ZBTB34
1356,ZBTB43
1357,LMX1B
1358,MVB12B
1359,GM13404
1360,C230014O12RIK
1361,PBX3
1362,MAPKAP1
1363,GAPVD1
1364,HSPA5
1365,RABEPK
1366,FBXW2
1367,GM34653
1368,PSMD5
1369,CUTAL
1370,PHF19
1371,TRAF1
1372,HC
1373,AI182371
1374,CNTRL
1375,RAB14
1376,GSN
1377,STOM
1378,GGTA1
1379,DAB2IP
1380,TTLL11
1381,NDUFA8
1382,MORN5
1383,LHX6
1384,RBM18
1385,MRRF
1386,PTGS1
1387,PDCL
1388,RC3H2
1389,ZBTB6
1390,ZBTB26
1391,RABGAP1
1392,STRBP
1393,CRB2
1394,DENND1A
1395,LHX2
1396,NEK6
1397,PSMB7
1398,NR5A1
1399,NR6A1
1400,OLFML2A
1401,GM13496
1402,WDR38
1403,RPL35
1404,ARPC5L
1405,GOLGA1
1406,SCAI
1407,PPP6C
1408,KYNU
1409,ARHGAP15
1410,GTDC1
1411,ZEB2
1412,ZEB2OS
1413,1700019E08RIK
1414,GM13470
1415,GM13481
1416,ACVR2A
1417,ORC4
1418,MBD5
1419,EPC2
1420,KIF5C
1421,LYPD6B
1422,MMADHC
1423,RND3
1424,RBM43
1425,NMI
1426,TNFAIP6
1427,RIF1
1428,NEB
1429,GM13522
1430,ARL5A
1431,A430018G15RIK
1432,CACNB4
1433,STAM2
1434,FMNL2
1435,PRPF40A
1436,ARL6IP6
1437,RPRM
1438,NR4A2
1439,A930012O16RIK
1440,GPD2
1441,GALNT5
1442,CYTIP
1443,GM13546
1444,ACVR1C
1445,GM13544
1446,ACVR1
1447,UPP2
1448,CCDC148
1449,PKP4
1450,DAPL1
1451,TANC1
1452,WDSUB1
1453,BAZ2B
1454,GM13620
1455,MARCH7
1456,CD302
1457,LY75
1458,PLA2R1
1459,ITGB6
1460,RBMS1
1461,TANK
1462,PSMD14
1463,TBR1
1464,DPP4
1465,FAP
1466,IFIH1
1467,GCA
1468,FIGN
1469,GRB14
1470,COBLL1
1471,GM13594
1472,SCN3A
1473,SCN2A
1474,GALNT3
1475,TTC21B
1476,SCN1A
1477,GM13630
1478,SCN7A
1479,XIRP2
1480,B3GALT1
1481,STK39
1482,CERS6
1483,NOSTRIN
1484,SPC25
1485,DHRS9
1486,LRP2
1487,BBS5
1488,KLHL41
1489,FASTKD1
1490,PPIG
1491,CCDC173
1492,PHOSPHO2
1493,KLHL23
1494,SSB
1495,METTL5
1496,GM13625
1497,METTL5OS
1498,UBR3
1499,MYO3B
1500,GAD1
1501,GM26558
1502,GORASP2
1503,TLK1
1504,METTL8
1505,DCAF17
1506,CYBRD1
1507,DYNC1I2
1508,SLC25A12
1509,HAT1
1510,METAP1D
1511,DLX1AS
1512,DLX1
1513,DLX2
1514,PLATR26
1515,ITGA6
1516,PDK1
1517,RAPGEF4
1518,MAP3K20
1519,CDCA7
1520,SP3
1521,SP3OS
1522,OLA1
1523,SP9
1524,CIR1
