,0
764,PEX19
765,DCAF8
766,PEA15A
767,CASQ1
768,IGSF8
769,ATP1A2
770,KCNJ10
771,PIGM
772,SLAMF9
773,IGSF9
774,TAGLN2
775,CFAP45
776,4933439K11RIK
777,SLAMF8
778,DUSP23
779,FCER1A
780,ACKR1
781,CADM3
782,AIM2
783,IFI206
784,IFI214
785,IFI213
786,IFI209
787,IFI208
788,IFI207
789,IFI204
790,MNDAL
791,IFI211
792,IFI203
793,IFI205
794,OLFR433
795,GREM2
796,FH1
797,KMO
798,OPN3
799,CHML
800,EXO1
801,PLD5
802,RBM8A2
803,CEP170
804,SDCCAG8
805,AKT3
806,ZBTB18
807,ADSS
808,CATSPERE2
809,DESI2
810,B230369F24RIK
811,COX20
812,HNRNPU
813,EFCAB2
814,KIF26B
815,SMYD3
816,TFB2M
817,CNST
818,SCCPDH
819,AHCTF1
820,CDC42BPA
821,COQ8A
822,GM37336
823,PSEN2
824,ITPKB
825,STUM
826,PARP1
827,LIN9
828,ACBD3
829,H3F3A
830,H3F3AOS
831,SDE2
832,PYCR2
833,LEFTY1
834,TMEM63A
835,EPHX1
836,NVL
837,CNIH4
838,WDR26
839,A430110L20RIK
840,DNAH14
841,LBR
842,ENAH
843,SRP9
844,DEGS1
845,FBXO28
846,TRP53BP2
847,CAPN2
848,SUSD4
849,TLR5
850,GM38079
851,DISP1
852,BROX
853,AIDA
854,MIA3
855,TAF1A
856,GM37986
857,HHIPL2
858,GM33973
859,DUSP10
860,1700056E22RIK
861,HLX
862,GM34342
863,MARC2
864,C130074G19RIK
865,MARK1
866,RAB3GAP2
867,IARS2
868,BPNT1
869,EPRS
870,LYPLAL1
871,TGFB2
872,RRP15
873,A430105J06RIK
874,GPATCH2
875,ESRRG
876,KCTD3
877,KCNK2
878,CENPF
879,PTPN14
880,GM37422
881,SMYD2
882,PROX1
883,RPS6KC1
884,ANGEL2
885,VASH2
886,FLVCR1
887,TATDN3
888,NSL1
889,BATF3
890,ATF3
891,D730003I15RIK
892,NENF
893,PACC1
894,PPP2R5A
895,DTL
896,INTS7
897,LPGAT1
898,GM38037
899,NEK2
900,1700034H15RIK
901,SLC30A1
902,RD3
903,GM26670
904,TRAF5
905,GM26879
906,RCOR3
907,KCNH1
908,HHAT
909,SERTAD4
910,GM15867
911,UTP25
912,IRF6
913,A130010J15RIK
914,TRAF3IP3
915,4930570N18RIK
916,LAMB3
917,HSD11B1
918,G0S2
919,CAMK1G
920,PLXNA2
921,CD34
922,A330023F24RIK
923,CD46
924,CR1L
925,CR2
926,FAM171A1
927,NMT2
928,RPP38
929,ACBD7
930,MEIG1
931,DCLRE1C
932,SUV39H2
933,HSPA14
934,GM45902
935,CDNF
936,FAM107B
937,FRMD4A
938,PRPF18
939,BEND7
940,SEPHS1
941,PHYH
942,MCM10
943,OPTN
944,CCDC3
945,CAMK1D
946,CDC123
947,NUDT5
948,GM13199
949,SEC61A2
950,DHTKD1
951,UPF2
952,PROSER2
953,ECHDC3
954,USP6NL
955,GM13391
956,CELF2
957,GATA3
958,TAF3
959,ATP5C1
960,KIN
961,ITIH5
962,SFMBT2
963,PRKCQ
964,PFKFB3
965,GM10851
966,RBM17
967,IL2RA
968,IL15RA
969,FBH1
970,ANKRD16
971,ITGA8
972,MINDY3
973,PTER
974,C1QL3
975,RSU1
976,CUBN
977,TRDMT1
978,VIM
979,ST8SIA6
980,HACD1
981,STAMOS
982,STAM
983,MRC1
984,CACNB2
985,NSUN6
986,ARL5B
987,PLXDC2
988,NEBL
989,A930004D18RIK
990,SKIDA1
991,1810059C17RIK
992,MLLT10
993,DNAJC1
994,COMMD3
995,BMI1
996,PIP4K2A
997,4930426L09RIK
998,ARMC3
999,MSRB2
1000,OTUD1
1001,ETL4
1002,ARHGAP21
1003,ENKUR
1004,THNSL1
1005,APBB1IP
1006,PDSS1
1007,ABI1
1008,ACBD5
1009,MASTL
1010,YME1L1
1011,SPOPL
1012,HNMT
1013,IL1F9
1014,IL1RN
1015,PSD4
1016,CACNA1B
1017,EHMT1
1018,ARRDC1
1019,ZMYND19
1020,DPH7
1021,MRPL41
1022,PNPLA7
1023,NSMF
1024,NRARP
1025,TOR4A
1026,NELFB
1027,TUBB4B
1028,RNF208
1029,NDOR1
1030,TMEM203
1031,TPRN
1032,SSNA1
1033,ANAPC2
1034,LRRC26
1035,MAN1B1
1036,DPP7
1037,UAP1L1
1038,SAPCD2
1039,ENTPD2
1040,NPDC1
1041,FUT7
1042,ABCA2
1043,PAXX
1044,CLIC3
1045,PTGDS
1046,C8G
1047,FBXW5
1048,TRAF2
1049,EDF1
1050,MAMDC4
1051,PHPT1
1052,AJM1
1053,RABL6
1054,TMEM141
1055,FCNA
1056,A230005M16RIK
1057,BMYC
1058,CAMSAP1
1059,UBAC1
1060,NACC2
1061,TMEM250-PS
1062,QSOX2
1063,GPSM1
1064,DNLZ
1065,CARD9
1066,SNAPC4
1067,ENTR1
1068,PMPCA
1069,INPP5E
1070,SEC16A
1071,0610009E02RIK
1072,NOTCH1
1073,EGFL7
1074,AGPAT2
1075,DIPK1B
1076,LCN4
1077,SURF6
1078,MED22
1079,RPL7A
1080,SURF1
1081,SURF2
1082,SURF4
1083,STKLD1
1084,REXO4
1085,ADAMTS13
1086,CACFD1
1087,SLC2A6
1088,ADAMTSL2
1089,SARDH
1090,VAV2
1091,BRD3OS
1092,BRD3
1093,WDR5
1094,RXRA
1095,2810430I11RIK
1096,COL5A1
1097,OLFM1
1098,GM13373
1099,PPP1R26
1100,MRPS2
1101,GM10134
1102,RALGDS
1103,GTF3C5
1104,TSC1
1105,SPACA9
1106,AK8
1107,GTF3C4
1108,DDX31
1109,TTF1
1110,SETX
1111,6530402F18RIK
1112,MED27
1113,RAPGEF1
1114,TRUB2
1115,COQ4
1116,SLC27A4
1117,URM1
1118,2600006K01RIK
1119,CERCAM
1120,ODF2
1121,GLE1
1122,SPTAN1
1123,WDR34
1124,SET
1125,PKN3
1126,ZDHHC12
1127,ZER1
1128,TBC1D13
1129,ENDOG
1130,SPOUT1
1131,KYAT1
1132,1700084E18RIK
1133,LRRC8A
1134,PHYHD1
1135,DOLK
1136,NUP188
1137,SH3GLB2
1138,MIGA2
1139,DOLPP1
1140,CRAT
1141,PTPA
1142,IER5L
1143,CSTAD
1144,GM14488
1145,1700001O22RIK
1146,NTMT1
1147,ASB6
1148,PRRX2
1149,PTGES
1150,TOR1B
1151,TOR1A
1152,BC005624
1153,USP20
1154,FNBP1
1155,D330023K18RIK
1156,GPR107
1157,NCS1
1158,HMCN2
1159,ASS1
1160,FUBP3
1161,EXOSC2
1162,ABL1
1163,QRFP
1164,FIBCD1
1165,AIF1L
1166,NUP214
1167,FAM78A
1168,PLPP7
1169,PRRC2B
1170,POMT1
1171,UCK1
1172,SWI5
1173,GOLGA2
1174,DNM1
1175,CIZ1
1176,1110008P14RIK
1177,LCN2
1178,PTGES2
1179,SLC25A25
1180,NAIF1
1181,FAM102A
1182,DPM2
1183,ST6GALNAC4
1184,ST6GALNAC6
1185,AK1
1186,ENG
1187,FPGS
1188,CDK9
1189,SH2D3C
1190,TTC16
1191,TOR2A
1192,PTRH1
1193,STXBP1
1194,GM13524
1195,FAM129B
1196,LRSAM1
1197,RPL12
1198,SLC2A8
1199,GARNL3
1200,RALGPS1
1201,ANGPTL2
1202,ZBTB34
1203,ZBTB43
1204,MVB12B
1205,PBX3
1206,MAPKAP1
1207,GAPVD1
1208,HSPA5
1209,RABEPK
1210,FBXW2
1211,PSMD5
1212,CUTAL
1213,PHF19
1214,TRAF1
1215,HC
1216,AI182371
1217,CNTRL
1218,RAB14
1219,GSN
1220,STOM
1221,GGTA1
1222,DAB2IP
1223,NDUFA8
1224,LHX6
1225,RBM18
1226,MRRF
1227,PTGS1
1228,PDCL
1229,RC3H2
1230,ZBTB6
1231,ZBTB26
1232,RABGAP1
1233,STRBP
1234,DENND1A
1235,LHX2
1236,GM13589
1237,NEK6
1238,PSMB7
1239,NR6A1
1240,OLFML2A
1241,WDR38
1242,RPL35
1243,ARPC5L
1244,GOLGA1
1245,SCAI
1246,PPP6C
1247,KYNU
1248,ARHGAP15
1249,GTDC1
1250,ZEB2
1251,ZEB2OS
1252,GM13470
1253,ACVR2A
1254,ORC4
1255,MBD5
1256,EPC2
1257,KIF5C
1258,LYPD6B
1259,MMADHC
1260,RND3
1261,RBM43
1262,NMI
1263,TNFAIP6
1264,RIF1
1265,NEB
1266,GM13522
1267,ARL5A
1268,A430018G15RIK
1269,CACNB4
1270,STAM2
1271,FMNL2
1272,PRPF40A
1273,ARL6IP6
1274,NR4A2
1275,A930012O16RIK
1276,GPD2
1277,CYTIP
1278,GM13546
1279,ACVR1C
1280,ACVR1
1281,UPP2
1282,CCDC148
1283,PKP4
1284,DAPL1
1285,TANC1
1286,WDSUB1
1287,BAZ2B
1288,MARCH7
1289,CD302
1290,LY75
1291,GM13571
1292,PLA2R1
1293,RBMS1
1294,TANK
1295,PSMD14
1296,DPP4
1297,GM13561
1298,FAP
1299,IFIH1
1300,GCA
1301,FIGN
1302,GRB14
1303,COBLL1
1304,GM13594
1305,SCN3A
1306,GALNT3
1307,TTC21B
1308,SCN7A
1309,B3GALT1
1310,STK39
1311,CERS6
1312,NOSTRIN
1313,SPC25
1314,LRP2
1315,BBS5
1316,FASTKD1
1317,PPIG
1318,CCDC173
1319,PHOSPHO2
1320,KLHL23
1321,SSB
1322,METTL5
1323,GM13625
1324,UBR3
1325,MYO3B
1326,ERICH2
1327,GAD1
1328,GM26558
1329,GORASP2
1330,TLK1
1331,METTL8
1332,DCAF17
1333,CYBRD1
1334,DYNC1I2
1335,SLC25A12
1336,HAT1
1337,METAP1D
1338,ITGA6
1339,PDK1
1340,RAPGEF4
1341,MAP3K20
1342,CDCA7
1343,SP3
1344,SP3OS
1345,OLA1
1346,CIR1
1347,SCRN3
1348,GPR155
1349,WIPF1
1350,CHRNA1OS
1351,CHN1OS3
1352,CHN1
1353,ATF2
1354,ATP5G3
1355,LNPK
1356,HOXD10
1357,GM14396
1358,HOXD9
1359,HOXD3OS1
1360,HOXD8
1361,HOXD3
1362,HOXD4
1363,MTX2
1364,2600014E21RIK
1365,HNRNPA3
1366,NFE2L2
1367,E030042O20RIK
1368,AGPS
1369,TTC30B
1370,TTC30A1
1371,RBM45
1372,OSBPL6
1373,PRKRA
1374,PJVK
1375,FKBP7
1376,PLEKHA3
1377,TTN
1378,CCDC141
1379,SESTD1
1380,CWC22
1381,UBE2E3
1382,ITGA4
1383,CERKL
1384,ITPRID2
1385,PDE1A
1386,DNAJC10
1387,FRZB
1388,NCKAP1
1389,DUSP19
1390,NUP35
1391,ZC3H15
1392,ITGAV
1393,FAM171B
1394,CALCRL
1395,TFPI
1396,GM13710
1397,CTNND1
1398,SELENOH
1399,TMX2
1400,MED19
1401,ZDHHC5
1402,CLP1
1403,GM19426
1404,SERPING1
1405,UBE2L6
1406,TIMM10
1407,SLC43A1
1408,SLC43A3
1409,PRG2
1410,PRG3
1411,P2RX3
1412,SSRP1
1413,TNKS1BP1
1414,APLNR
1415,GM13713
1416,LRRC55
1417,OLFR1033
1418,PTPRJ
1419,NUP160
1420,FNBP4
1421,AGBL2
1422,MTCH2
1423,C1QTNF4
1424,NDUFS3
1425,KBTBD4
1426,PTPMT1
1427,CELF1
1428,RAPSN
1429,GM13778
1430,PSMC3
1431,SLC39A13
1432,SPI1
1433,MYBPC3
1434,MADD
1435,NR1H3
1436,ACP2
1437,DDB2
1438,PACSIN3
1439,ARFGAP2
1440,1110051M20RIK
1441,LRP4
1442,CKAP5
1443,F2
1444,ZFP408
1445,ARHGAP1
1446,ATG13
1447,HARBI1
1448,AMBRA1
1449,MDK
1450,DGKZ
1451,CREB3L1
1452,PHF21A
1453,PEX16
1454,1700029I15RIK
1455,MAPK8IP1
1456,CRY2
1457,D930015M05RIK
1458,SLC35C1
1459,CHST1
1460,SYT13
1461,PRDM11
1462,TRP53I11
1463,TSPAN18
1464,CD82
1465,EXT2
1466,ACCS
1467,GM13889
1468,ALKBH3
1469,HSD17B12
1470,TTC17
1471,2810002D19RIK
1472,API5
1473,LRRC4C
1474,B230118H07RIK
1475,TRAF6
1476,PRR5L
1477,COMMD9
1478,LDLRAD3
1479,GM13919
1480,TRIM44
1481,FJX1
1482,PAMR1
1483,SLC1A2
1484,CD44
1485,PDHX
1486,APIP
1487,EHF
