,0
797,ARHGAP30
798,ARHGAP31
799,ARHGAP39
800,ARHGAP4
801,ARHGAP45
802,ARHGAP5
803,ARHGAP9
804,ARHGDIA
805,ARHGDIB
806,ARHGEF1
807,ARHGEF12
808,ARHGEF18
809,ARHGEF2
810,ARHGEF3
811,ARHGEF4
812,ARHGEF6
813,ARHGEF7
814,ARID1A
815,ARID1B
816,ARID2
817,ARID3A
818,ARID3B
819,ARID4A
820,ARID4B
821,ARID5A
822,ARID5B
823,ARIH1
824,ARIH2
825,ARL1
826,ARL10
827,ARL13B
828,ARL14EP
829,ARL15
830,ARL16
831,ARL2
832,ARL2BP
833,ARL3
834,ARL4A
835,ARL4C
836,ARL4D
837,ARL5A
838,ARL5B
839,ARL5C
840,ARL6
841,ARL6IP1
842,ARL6IP4
843,ARL6IP5
844,ARL6IP6
845,ARL8A
846,ARL8B
847,ARMC1
848,ARMC10
849,ARMC3
850,ARMC5
851,ARMC6
852,ARMC7
853,ARMC8
854,ARMCX2
855,ARMCX3
856,ARMCX5
857,ARMT1
858,ARNT
859,ARNTL
860,ARPC1A
861,ARPC1B
862,ARPC2
863,ARPC3
864,ARPC4
865,ARPC5
866,ARPC5L
867,ARPP19
868,ARRB2
869,ARRDC1
870,ARRDC2
871,ARRDC3
872,ARSB
873,ARSK
874,ART2A-PS
875,ART2B
876,ARV1
877,AS3MT
878,ASAH1
879,ASAP1
880,ASB1
881,ASB13
882,ASB2
883,ASB3
884,ASB6
885,ASB7
886,ASB8
887,ASCC1
888,ASCC2
889,ASCC3
890,ASF1A
891,ASF1B
892,ASH1L
893,ASH2L
894,ASL
895,ASNA1
896,ASNS
897,ASNSD1
898,ASPM
899,ASPSCR1
900,ASRGL1
901,ASS1
902,ASTE1
903,ASUN
904,ASXL1
905,ASXL2
906,ATAD1
907,ATAD2
908,ATAD2B
909,ATAD3A
910,ATAD5
911,ATAT1
912,ATE1
913,ATF1
914,ATF2
915,ATF4
916,ATF5
917,ATF6
918,ATF6B
919,ATF7
920,ATF7IP
921,ATG10
922,ATG101
923,ATG12
924,ATG13
925,ATG14
926,ATG16L1
927,ATG16L2
928,ATG2A
929,ATG2B
930,ATG3
931,ATG4A
932,ATG4A-PS
933,ATG4B
934,ATG4D
935,ATG5
936,ATG7
937,ATG9A
938,ATIC
939,ATL2
940,ATL3
941,ATM
942,ATMIN
943,ATN1
944,ATOX1
945,ATP10A
946,ATP10D
947,ATP11A
948,ATP11B
949,ATP11C
950,ATP13A1
951,ATP13A2
952,ATP13A3
953,ATP1A1
954,ATP1B1
955,ATP1B3
956,ATP23
957,ATP2A2
958,ATP2A3
959,ATP2B1
960,ATP2B4
961,ATP2C1
962,ATP5A1
963,ATP5B
964,ATP5C1
965,ATP5D
