"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RMI1",-0.0725299918504232,2.59308072111711,-0.383679696436617,0.701489081652786,0.83543557791973,-7.17770657904961
"ADAT1",0.0714342699971799,0.868737319404468,0.382674258614079,0.702233727702731,0.836209409842476,-7.17809103435624
"TTPAL",-0.0689260681887627,1.04993669322963,-0.381184268169589,0.703337770795321,0.837242426857541,-7.17865891759105
"SIRT1",-0.0708835040369941,1.07809893262654,-0.381154096097864,0.703360133998883,0.837242426857541,-7.17867039427414
"BC003965",0.0783634632372697,3.72436644052278,0.381118875458977,0.703386239470468,0.837242426857541,-7.17868379015479
"ZFP808",0.089855209248861,1.38930531150888,0.380974723622522,0.70349308820396,0.837256527527548,-7.17873860423256
"TSPAN31",-0.0642835533002464,6.5061344948856,-0.380657014914052,0.703728602150846,0.837423733561357,-7.17885934057865
"TTC32",-0.0747600356668487,1.00958985427612,-0.380247010673018,0.704032575969944,0.837657587919758,-7.17901500254462
"KREMEN1",-0.0379159851577436,0.276197129179496,-0.380135553757936,0.704115217441231,0.837657587919758,-7.17905728923916
"MIB1",0.0611519795333292,0.775100099451981,0.379563832933807,0.704539183964642,0.837903813760836,-7.17927400511973
"MAPKAP1",0.0849615564079266,1.80826724900196,0.379409074231091,0.70465396303569,0.837903813760836,-7.179332611744
"ZBTB9",0.0627654536079141,0.603075550831183,0.379379392877114,0.704675977421533,0.837903813760836,-7.17934384924865
"CDK20",-0.0594820330474866,0.495257906483794,-0.379343643633109,0.704702492635347,0.837903813760836,-7.17935738291995
"HNRNPU",-0.0253866621937568,7.22620899293545,-0.379089853602685,0.704890739063077,0.838014580245905,-7.17945342415056
"BC025920",0.0358150062447956,0.176953393890014,0.378473743055194,0.705347808962544,0.838444866521027,-7.17968631041522
"VPS53",0.0973108057277566,2.5884079547994,0.377929620528181,0.705751562478116,0.838775895094873,-7.17989167092507
"AI597479",0.0946614068159547,1.87909253423177,0.377841930223329,0.705816638831678,0.838775895094873,-7.17992473902529
"BBIP1",0.0584244220781448,4.49631996730556,0.377415429086384,0.706133182856708,0.839038929555907,-7.18008546370472
"KIF5B",-0.0375920398561837,5.11349530739137,-0.377220788038119,0.70627766009247,0.839076814538425,-7.18015875287946
"GTF3C5",0.0864608398982138,1.50639876555001,0.376965990129538,0.706466806355959,0.839076814538425,-7.18025463613543
"PPP2R2A",-0.0606686889995049,4.3188642323481,-0.376829230759695,0.706568335598363,0.839076814538425,-7.18030607349734
"ERI2",0.0813690386748394,1.23707044982912,0.376825494213801,0.70657110965872,0.839076814538425,-7.18030747860966
"MAPK8IP3",-0.0793280020194573,1.64574892682436,-0.376731206058213,0.70664111171045,0.839076814538425,-7.18034293066536
"PHC1",0.0667472203413868,0.722524724811605,0.376491578050769,0.706819029181502,0.839175010666386,-7.18043299017045
"PLA2G16",-0.0801044570436707,2.2507345869515,-0.375379755032921,0.70764473891298,0.83988770146867,-7.18085009811468
"PDP2",0.0840188496740406,3.11174205238673,0.375354589228618,0.707663432626779,0.83988770146867,-7.18085952497337
"RAB9",-0.103864743731134,4.12159245278611,-0.37529834020146,0.707705216283484,0.83988770146867,-7.18088059301377
"EIF4EBP3",0.0778646684708932,1.41417574454802,0.37451991475897,0.708283547489157,0.840460873033788,-7.18117182792414
"VAMP5",0.0470338589387092,0.423119110939722,0.37405941301849,0.708625756905115,0.840753742003875,-7.18134383257312
"FBXW8",0.0520911536600816,0.749725246856066,0.373756165361329,0.708851139490686,0.840907940817259,-7.18145698489227
"PELO",0.0717634855041041,0.934788802150849,0.371618447977554,0.71044067984455,0.842640877173278,-7.18225204088178
"HJURP",0.067803884395544,3.12063844230228,0.371530448588736,0.710506140653654,0.842640877173278,-7.18228467181791
"ETAA1",-0.0754794003619503,1.40115978523215,-0.371405925319352,0.710598774441371,0.842640877173278,-7.18233083293309
"PCF11",0.0732030299334062,3.41865994440461,0.370962132317661,0.710928950296533,0.842918988155972,-7.18249522247695
"NAB2",0.0629118862549924,0.860056269868163,0.370782125283406,0.711062888584834,0.842964384866578,-7.18256184460052
"IWS1",0.0641493468332886,2.90193673139344,0.370265367472534,0.711447443673674,0.843251957670743,-7.18275292153802
"HIST1H2BM",0.121187549100141,3.51567282488394,0.370199011100574,0.711496829370208,0.843251957670743,-7.18277743825424
"KIF2A",-0.0789706128777827,3.96545633284181,-0.36933806607817,0.712137697503994,0.843898013729017,-7.18309513397788
