	AveExpr	Coef.(Intercept)	Coef.metadata$cell_typeTh17p	t.(Intercept)	t.metadata$cell_typeTh17p	P.value.(Intercept)	P.value.metadata$cell_typeTh17p	F	F.p.value
ARHGAP5	1.2371148797999	1.2894475764855	-0.109183324020321	9.51355182735826	-0.557703938365009	6.4706430183736e-19	0.57746469633807	80.1553557423882	1.37485295146592e-28
EGLN3	3.82656713510546	4.38723226078864	-1.16973299602966	25.2615119552396	-4.66298325326995	4.30584137424266e-76	4.70736907110214e-06	477.044750098058	1.12469016377901e-93
SPTSSA	5.9978832075311	6.00056312276169	-0.00559119004943964	45.0202408693229	-0.0290421297478537	4.52291673036508e-135	0.976850403372478	1944.54845675638	6.94518172318985e-172
EAPP	6.69770166873356	6.63811800796459	0.124311234697841	67.9921411663567	0.881520731393442	1.13761578756774e-183	0.378745514374099	4519.67792520638	7.51474993274485e-224
SNX6	6.69872030902253	6.68552952342478	0.0275203440528513	69.990674234929	0.199464965591856	3.329800960674e-187	0.842034894312009	4722.64506440769	1.31368775172197e-226
CFL2	2.83275382785613	2.62396880101622	0.435594660313491	16.1775644915092	1.85928267014083	1.05851959741731e-42	0.0639712195900145	294.627318871903	2.29776570079792e-71
BAZ1A	4.03980382779838	3.96585272380018	0.154286475967471	36.9253525716097	0.99454475015908	2.70317151536994e-113	0.3207634955044	1359.08246737877	1.24301070931507e-150
2700097O09RIK	4.46214009617794	3.8991814944383	1.17451794607552	16.8296138508829	3.50969000456362	3.73814486082748e-45	0.000517830532249804	362.346613770157	1.44481459517949e-80
SRP54A	3.81999879101042	3.77993904765529	0.0835778818200539	31.2428557408723	0.478261793561218	4.39583443070432e-96	0.632814076151152	957.417233651344	1.4457874792246e-130
FAM177A	3.19611264263294	3.28405837079171	-0.183483893280873	35.8905901516414	-1.38827684373796	2.75835925475875e-110	0.166088258591723	1172.55100338468	4.45398627391613e-142
SRP54B	5.79369185570426	5.84750342748886	-0.112268746888748	49.8480084575556	-0.66258958223315	9.99816831637055e-147	0.508104872601073	2342.59489302157	3.66210173710366e-183
1700047I17RIK2	3.19611264263294	3.28405837079171	-0.183483893280873	35.8905901516414	-1.38827684373796	2.75835925475875e-110	0.166088258591723	1172.55100338468	4.45398627391613e-142
PPP2R3C	3.94136753533086	3.48971497587096	0.942296706786845	22.4888529900405	4.20410372710405	3.367209239894e-66	3.4682234566672e-05	628.334834534157	1.07049102295495e-107
1110008L16RIK	1.8754862053414	1.87192041823793	0.00743941194249086	10.9522505210666	0.0301344310725276	1.09096073642061e-23	0.97597998526898	115.625196629894	6.61553537190051e-38
PSMA6	10.317882599458	10.2163616657598	0.211806264550188	246.781581144326	3.54212339013722	0	0.000460412437279456	59655.5506186951	0
NFKBIA	7.31948839147336	7.00003768910548	0.666479882638018	74.5015895369099	4.91089452579444	7.32728486845632e-195	1.49587819856923e-06	5839.56577385208	5.53749358404158e-240
RALGAPA1	1.80195025997923	1.84847107913614	-0.0970578241403076	14.3139328760204	-0.520337670590751	9.68112449082046e-36	0.60321407227684	187.104237775512	2.17490763097183e-53
BRMS1L	0.721255832842955	0.832329313567812	-0.231736038922362	6.91023113265238	-1.33198509201544	2.93219594918777e-11	0.183881501864144	35.3192704731198	1.70942247654815e-14
MBIP	2.81020373651386	3.15444712335787	-0.718205627228511	14.6350275896018	-2.30689325012483	6.23036558500595e-37	0.0217454070110193	165.893612671712	3.62053759425515e-49
PRPS1L3	3.89999583550554	4.1339307415045	-0.48806563122084	29.2396730362652	-2.38998922633766	1.32626078573937e-89	0.0174692204782095	733.554115278103	6.39044695513838e-116
MIPOL1	0.78591495921775	0.874252350168218	-0.184301031479394	6.49233013243742	-0.947545239376324	3.52116517270051e-10	0.344127698871408	33.1581072166015	9.91419604188648e-14
IL1RN	4.60115851988639	3.81176902611944	1.64692772080874	12.6309828900929	3.77827453216279	1.37231259666726e-29	0.000190639986130378	230.364609470133	3.13593528719245e-61
